full form,short form
United States of America,USA
National Remote Sensing Centre,NRSC
Unmanned Aerial Vehicle,UAV
special weapons and tactics,SWAT
paramilitary police units,PPUs
Artificial intelligence,AI
Indian Space Research Organisation,EMISAT
two-stage-to-orbit,TSTO
Jet Propulsion Laboratory,JPL
California Institute of Technology,Caltech
Thumba Equatorial Rocket Launching Station,TERLS
Ultraviolet,UV
Northern and Eastern Railway,N&ER
Electronic news-gathering,ENG
digital satellite news gathering,DSNG
Japan Aerospace Exploration Agency,JAXA
Institute of Space and Astronautical Science,ISAS
National Aerospace Laboratory of Japan,NAL
National Space Development Agency of Japan,NASDA
Ministry of Internal Affairs and Communications,MIC
Defence Research and Development Organisation,DRDO
Defence Research & Development Service,DRDS
Lunar Polar Exploration mission,LUPEX
Satellite with ARgos and ALtiKa,SARAL
Centre National d'Études Spatiales,CNES
sea surface height,SSH
Information technology,IT
information and communications technology,ICT
information technology system,IT system
(1989,DOS
Data Management and Archive Station,DMAS
International Space Station,ISS
"Europe), and CSA (Canada",ESA
Mesosphere-Stratosphere-Troposphere,MST
"Positioning, Navigation and Timing",PNT
global navigation satellite system,GNSS
Global Positioning System,GPS
Global Navigation Satellite System,GLONASS
BeiDou Navigation Satellite System,BDS
Quasi-Zenith Satellite System,QZSS
Indian Regional Navigation Satellite System,IRNSS
medium Earth orbit,MEO
Department of Space,DOS
Indian National Committee for Space Research,INCOSPAR
Department of Atomic Energy,DAE
NewSpace India Limited,NSIL
Public Sector Undertaking,PSU
Reichsluftverteidigung,RLV
"Development, Concepts and Doctrine Centre",DCDC
United Kingdom,UK
Ministry of Defence’s,MOD's
Joint Doctrine and Concepts Centre,JDCC
Vice Chief of the Defence Staff,VCDS
Advanced Space Business Corporation,ASBC
Satellite Positioning Research and Application Center,SPAC
synthetic aperture radars,SAR
Meteorological and Oceanographic Satellite Data Archival Centre,MOSDAC
Space Applications Centre,SAC
Satellite data based Meteorology And Oceanography Research and Training,SMART
MOSDAC Research and Training Division,MRTD
overhead camshaft,OHC
overhead valve engines,OHV
Single overhead camshaft,SOHC
National Aeronautics and Space Administration,NASA
National Advisory Committee for Aeronautics,NACA
Polar Satellite Launch Vehicle,PSLV
Indian Remote Sensing,IRS
Geostationary Transfer Orbit,GTO
Internal Revenue Service,IRS
Monsters,Monsters
Indian National Center for Ocean Information Services,INCOIS
Ministry of Earth Sciences,MoES
Earth System Science Organization,ESSO
Department of Ocean Development,DOD
potential fishing zone,PFZ
Santa Cruz Operation,SCO
Single UNIX Specification,SUS
Institute of Space Science and Technology,IIST
Vikram Sarabhai Space Centre,VSSC
unmanned aerial vehicle,UAV
unmanned aircraft system,UAS
remotely-piloted aircraft,RPA
geographic information system,GIS
Atal Mission for Rejuvenation and Urban Transformation,AMRUT
"RennSport Rennwagen""",RSR
Tata Institute of Fundamental Research,TIFR
original equipment manufacturer,OEM
very-small-aperture terminal,VSAT
GEO augmented navigation,GAGAN
satellite-based augmentation system,SBAS
Airports Authority of India,AAI
Nuclear magnetic resonance,NMR
field,field
magnetic resonance imaging,MRI
Explorer 91 or SMEX-10,Explorer
energetic neutral atoms,ENAs
Southwest Research Institute,SwRI
Greenwich Mean Time,GMT
"U.S.A. or USA), commonly known as the United States",U.S. or US
million square kilometers,miles
rate one turn,ROT
U R Rao Satellite Centre,URSC
ISRO Satellite Centre,ISAC
Indian Scientific Satellite Project,ISSP
Secure Shell Protocol,SSH
Remote Shell,rsh
Satish Dhawan Space Centre,SDSC
Sriharikota Range,SHAR
German International School Boston,GISB
Bundesverwaltungsamt,BVA
Small Satellite Launch Vehicle,SSLV
Small Satellite Launch Complex,SSLC
Very High Resolution Radiometer,VHRR
Institutes of Technology,IITs
"is autonomous, linked to the others through a common council",IIT Council
Massachusetts Institute of Technology,MIT
global navigation satellite systems,GNSS
NASA-ISRO Synthetic Aperture Radar,NISAR
National Health Service,NHS
Geosynchronous Satellite Launch Vehicle,GSLV
IA-32,IA
Abhay Karandikar,TSDSI
Infrastructure Leasing & Financial Services,FS
.aw,AW
.cs,CS
Google,CPM
Maw sit sit,SIT
Liquid Propulsion Systems Centre,LPSC
GSAT-30,GSAT
Indian Institute of Remote Sensing,NRSA
Dr. No,DR
Audi TT,TTS
FSI International,FSI
.cr,CR
ENIAC Day,ENIAC
MCF-7,MCF
National Balancing Point (UK),OCM
Osteopathic medicine in the United States,OMT
NEC Nijmegen,NEC
OSF/1,OSF
Texas State Technical College,TSTC
Guatemala at the Pan American Games,AT
Parsec,PC
Richat Structure,RISAT
DM,DMS
Sikorsky SH-60 Seahawk,MH
Nicotinamide adenine dinucleotide,NAD
Backdrop CMS,CMS
3GPP,GPP
Proto-Oceanic language,POC
"London, Midland and Scottish Railway",LMS
.td,TD
RD-180,RD
Satcom (satellite),SATCOM
.br,BR
PRL Museum,PRL
HD+,HD
Q (New York City Subway service),BMT
AIA Group,AIA
GPS satellite blocks,IIRS
Ford Falcon (XB),XB
Rh blood group system,RH
Ministry of State Security (China),MSS
.22 CB,CB
3,III
Loi,LOI
Copula (linguistics),IS
Las Vegas,LAS
Marylebone Cricket Club,MCC
CME Group,CME
2,II
Consumer Electronics Show,CES
Toronto Transit Commission,TTC
ASB Bank,ASB
AQP6,AQP
.es,ES
Racism,RACS
